           x          rho            u            p
-4.39500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.38500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.37500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.36500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.35500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.34500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.33500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.32500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.31500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.30500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.29500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.28500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.27500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.26500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.25500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.24500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.23500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.22500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.21500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.20500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.19500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.18500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.17500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.16500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.15500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.14500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.13500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.12500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.11500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.10500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.09500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.08500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.07500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.06500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.05500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.04500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.03500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.02500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.01500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.00500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-3.99500e-01  7.99250e+00  9.37500e-03  4.79250e+02
-3.98500e-01  7.97752e+00  2.81250e-02  4.77754e+02
-3.97500e-01  7.96256e+00  4.68750e-02  4.76262e+02
-3.96500e-01  7.94761e+00  6.56250e-02  4.74773e+02
-3.95500e-01  7.93269e+00  8.43750e-02  4.73288e+02
-3.94500e-01  7.91778e+00  1.03125e-01  4.71807e+02
-3.93500e-01  7.90290e+00  1.21875e-01  4.70329e+02
-3.92500e-01  7.88803e+00  1.40625e-01  4.68855e+02
-3.91500e-01  7.87318e+00  1.59375e-01  4.67385e+02
-3.90500e-01  7.85834e+00  1.78125e-01  4.65918e+02
-3.89500e-01  7.84353e+00  1.96875e-01  4.64455e+02
